first,last,nickname,height_cm,weight,reach,stance,wins,losses,draws,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedowns_attempted,str_landed_per_min,str_absorbed_per_min,td_avg_per_15min,sub_avg_per_15min,str_defense_pct,td_defense_pct,knockdown_avg,striking_accuracy_pct,takedown_accuracy_pct,ko_wins,ko_win_percentage,dec_wins,dec_win_percentage,sub_wins,sub_win_percentage,avg_fight_time_minutes
Felix,Klinkhammer,,182.88,170.0,,,7,0,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Drakkar,Klose,,175.26,155.0,70.0,Orthodox,16,3,1,642.0,1166.0,8.0,56.0,4.25,3.65,1.49,0.0,,,0.2,55.0,27.0,6.0,38.0,10.0,63.0,0.0,0.0,11.616666666666667
Michael,Knaap,Hammer,187.96,220.0,,Orthodox,18,22,3,,,,,,,,,,,,,,,,,,,,
Kevin,Knabjian,,177.8,170.0,,Orthodox,12,7,1,,,,,0.0,15.56,0.0,0.0,,,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
Jason,Knight,The Kid,177.8,145.0,71.0,Orthodox,20,5,0,338.0,1002.0,10.0,32.0,2.95,3.02,1.31,1.7,,,0.39,34.0,31.0,3.0,15.0,4.0,20.0,13.0,65.0,12.733333333333333
William,Knight,Knightmare,177.8,205.0,73.0,Orthodox,11,5,0,286.0,502.0,8.0,32.0,2.62,3.3,1.78,0.41,,,0.27,57.0,41.0,9.0,82.0,2.0,18.0,0.0,0.0,12.133333333333333
Josefine,Knutsson,Thunder,160.02,115.0,60.0,Orthodox,8,1,0,318.0,617.0,3.0,11.0,4.24,2.13,1.6,0.0,,,0.0,52.0,73.0,1.0,13.0,7.0,88.0,0.0,0.0,15.0
Seokhyeon,Ko,The Korean Tyson,177.8,170.0,71.0,Southpaw,13,2,0,123.0,207.0,6.0,19.0,2.73,1.42,4.0,0.33,,,0.0,59.0,63.0,6.0,46.0,7.0,54.0,0.0,0.0,15.0
Isao,Kobayashi,,172.72,145.0,,,21,4,4,,,,,,,,,,,,,,,,,,,,
Kelly,Kobold,Blood Red,167.64,135.0,,Orthodox,19,3,1,,,,,,,,,,,,,,,,,,,,
Erik,Koch,Phoenix,177.8,170.0,71.0,Southpaw,16,6,0,309.0,729.0,3.0,21.0,2.33,2.82,1.02,1.02,,,0.34,42.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466666666666669
Sokun,Koh,,185.42,205.0,,,4,1,0,,,,,,,,,,,,,,,,,,,,
Shingo,Kohara,,167.64,135.0,,,1,0,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Brad,Kohler,,175.26,220.0,,Orthodox,12,15,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Charlie,Kohler,,175.26,155.0,,Orthodox,8,4,1,6.0,18.0,,1.0,0.81,4.31,0.0,4.04,,0.0,,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.633333333333334
Tsuyoshi,Kohsaka,TK,180.34,225.0,,Orthodox,27,19,2,,,,,,,,,,,,,,,,,,,,
Kaloyan,Kolev,,187.96,205.0,73.0,Orthodox,10,1,0,5.0,11.0,,5.0,1.12,4.49,10.11,0.0,,0.0,,45.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45
John,Kolosci,,180.34,185.0,,Orthodox,15,9,0,1.0,5.0,,2.0,0.21,0.85,0.0,0.0,,0.0,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.85
Yuki,Kondo,,180.34,183.0,,Southpaw,60,33,9,112.0,264.0,,12.0,1.14,2.57,0.76,0.46,,,0.3,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,10.95
Syuri,Kondo,,162.56,115.0,66.0,Orthodox,6,3,0,246.0,548.0,,,5.4,7.22,0.0,0.33,,,0.0,45.0,5.4,1.0,17.0,5.0,83.0,0.0,0.0,11.383333333333333
Mantas,Kondratavicius,,187.96,185.0,75.0,Orthodox,9,1,0,80.0,122.0,2.0,5.0,4.97,1.3,2.8,0.93,,,1.86,66.0,60.0,6.0,67.0,1.0,11.0,2.0,22.0,8.05
Cheick,Kongo,,193.04,240.0,82.0,Orthodox,27,10,2,694.0,1232.0,,57.0,3.33,1.28,2.3,0.22,,,0.29,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,9.933333333333334
Andrei,Kopylov,,187.96,265.0,,Orthodox,6,11,0,2.0,3.0,,1.0,0.33,4.31,0.0,0.0,,0.0,,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.033333333333333
Roman,Kopylov,,182.88,185.0,75.0,Southpaw,15,5,0,668.0,1332.0,,22.0,4.54,5.08,1.12,0.0,,,0.92,50.0,50.0,12.0,80.0,3.0,20.0,0.0,0.0,12.266666666666667
Bruno,Korea,,167.64,135.0,65.0,,7,3,0,30.0,88.0,,1.0,2.12,3.96,0.0,0.0,,,1.06,34.0,0.0,0.0,0.0,1.0,25.0,3.0,75.0,7.066666666666666
Chungreng,Koren,The Indian Rhino,167.64,135.0,67.0,Orthodox,8,2,0,,,,,,,,,,,,,,,,,,,,
Andrey,Koreshkov,Spartan,182.88,170.0,,,19,2,0,,,,,,,,,,,,,,,,,,,,
Josh,Koscheck,,177.8,170.0,73.0,Orthodox,17,11,0,437.0,1211.0,,83.0,1.79,2.27,2.46,0.43,,,0.25,36.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,9.366666666666667
Steven,Koslow,Obi Won Shinobi The Pillow,170.18,125.0,69.0,Switch,6,1,0,11.0,29.0,5.0,9.0,0.77,3.73,5.28,1.06,,0.0,,38.0,56.0,0.0,0.0,0.0,0.0,6.0,100.0,14.216666666666669
Naoyuki,Kotani,,172.72,155.0,66.0,Southpaw,34,14,7,55.0,177.0,,18.0,1.02,2.89,0.83,0.83,,,0.0,31.0,17.0,5.0,15.0,3.0,9.0,25.0,76.0,9.0
Ilya,Kotau,,,170.0,,,1,2,0,,,,,,,,,,,,,,,,,,,,
Iouri,Kotchkine,,187.96,235.0,,Orthodox,7,4,1,5.0,13.0,,,0.67,4.92,0.0,0.0,,,0.0,38.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,7.516666666666667
Matt,Kovacs,300,182.88,244.0,,Orthodox,12,16,0,22.0,99.0,,4.0,1.47,4.87,1.0,0.0,,0.0,,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Marcus,Kowal,,,135.0,,,3,1,1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Karolina,Kowalkiewicz,,160.02,115.0,64.0,Orthodox,16,10,0,1394.0,3243.0,1.0,26.0,5.54,5.77,0.36,0.18,,,0.0,43.0,23.0,1.0,6.0,12.0,75.0,3.0,19.0,13.233333333333333
Steve,Kozola,,,155.0,,,8,0,0,,,,,,,,,,,,,,,,,,,,
Derrick,Krantz,D-Rock,177.8,170.0,72.0,Orthodox,22,12,0,39.0,103.0,1.0,8.0,2.07,4.03,3.18,0.8,,0.0,,38.0,50.0,10.0,42.0,3.0,13.0,11.0,46.0,9.433333333333334
James,Krause,The,187.96,170.0,73.0,Orthodox,28,9,0,821.0,1653.0,7.0,60.0,4.79,4.11,0.96,0.87,,,0.26,50.0,18.0,8.0,30.0,5.0,19.0,14.0,52.0,11.433333333333334
Pascal,Krauss,Panzer,185.42,170.0,,Orthodox,11,2,0,267.0,561.0,5.0,10.0,5.45,3.88,1.53,0.92,,,0.0,48.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25
Rene,Kronvold,,172.72,170.0,,Orthodox,5,1,0,,,,,,,,,,,,,,,,,,,,
Kaynan,Kruschewsky,Bahia,182.88,155.0,73.0,Orthodox,15,3,0,124.0,245.0,,4.0,5.67,5.71,2.74,2.06,,,0.0,51.0,100.0,4.0,27.0,2.0,13.0,9.0,60.0,7.3
Jorgen,Kruth,The Last Viking,187.96,205.0,,,5,0,0,,,,,,,,,,,,,,,,,,,,
Nikita,Krylov,The Miner,190.5,205.0,77.0,Orthodox,31,11,0,638.0,1172.0,1.0,54.0,4.36,2.59,2.05,1.23,,,0.62,54.0,37.0,13.0,42.0,2.0,6.0,16.0,52.0,6.966666666666667
Mariusz,Ksiazkiewicz,The Iron Pol,190.5,185.0,75.0,Southpaw,8,1,0,14.0,31.0,,4.0,0.93,3.4,4.0,2.0,,0.0,,45.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Eliezer,Kubanza,,175.26,170.0,74.0,Orthodox,7,1,0,,,,,,,,,,,,,,,,,,,,
Junya,Kudo,,,135.0,,Orthodox,10,7,2,,,,,,,,,,,,,,,,,,,,
John,Kuhner,,,170.0,,,1,2,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Michael,Kuiper,,182.88,185.0,73.0,Orthodox,15,5,0,107.0,195.0,,9.0,3.28,3.62,2.3,0.0,,,1.38,55.0,56.0,7.0,58.0,1.0,8.0,4.0,33.0,8.166666666666666
Anton,Kuivanen,,172.72,155.0,72.0,Orthodox,24,10,0,85.0,223.0,,3.0,2.27,1.63,1.2,0.4,,,0.0,38.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
Maiju,Kujala,,,135.0,,,6,3,0,15.0,37.0,,,2.5,5.5,0.0,0.0,,,0.0,41.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Sumit,Kumar,The Indian Kid,165.1,125.0,66.0,Orthodox,8,1,0,42.0,175.0,,20.0,2.8,4.67,6.0,0.0,,,0.0,24.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Aleksei,Kunchenko,,172.72,170.0,70.0,Orthodox,20,2,0,220.0,496.0,1.0,3.0,3.67,2.83,0.25,0.0,,,0.0,44.0,33.0,13.0,65.0,6.0,30.0,1.0,5.0,15.0
Rizvan,Kuniev,,193.04,240.0,76.0,Orthodox,13,3,1,181.0,330.0,,4.0,3.94,2.33,0.98,0.0,,,0.33,55.0,75.0,6.0,50.0,4.0,33.0,2.0,17.0,11.5
Keigo,Kunihara,,182.88,235.0,,Orthodox,3,2,0,1.0,10.0,,5.0,0.17,1.99,4.97,2.49,,,0.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,6.033333333333333
Kiichi,Kunimoto,Strasser,177.8,170.0,71.0,Orthodox,18,7,2,88.0,200.0,5.0,25.0,1.87,3.92,1.59,0.32,,,0.0,44.0,20.0,2.0,11.0,7.0,39.0,9.0,50.0,9.433333333333334
Jon,Kunneman,AK-47,,185.0,,,10,0,0,,,,,,,,,,,,,,,,,,,,
Leo,Kuntz,The Lion,177.8,155.0,,Orthodox,18,4,1,38.0,116.0,,12.0,1.68,3.8,1.99,0.66,,,0.0,33.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.316666666666666
Korey,Kuppe,,195.58,170.0,77.0,Switch,8,4,0,11.0,15.0,,,0.73,1.33,0.0,1.0,,,0.0,73.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Ramazan,Kuramagomedov,,185.42,170.0,73.0,Orthodox,8,0,0,175.0,258.0,,7.0,11.67,9.13,1.0,0.0,,0.0,,68.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Tsuyoshi,Kurihara,,177.8,185.0,,Orthodox,10,8,2,,,,,,,,,,,,,,,,,,,,
Eldari,Kurtanidze,,167.64,235.0,,Orthodox,0,1,0,,,,,,,,,,,,,,,,,,,,
Kyle,Kurtz,,,170.0,,,7,5,0,,,,,,,,,,,,,,,,,,,,
Guram,Kutateladze,Georgian Viking,180.34,155.0,72.0,Orthodox,13,5,0,259.0,575.0,,20.0,3.53,4.22,0.61,0.0,,,0.2,45.0,15.0,7.0,54.0,5.0,38.0,1.0,8.0,14.65
Vadym,Kutsyi,,182.88,170.0,71.0,Orthodox,17,2,0,,,,,,,,,,,,,,,,,,,,
Lina,Kvokov,,175.26,135.0,,Orthodox,0,3,0,4.0,13.0,,,2.31,12.12,0.0,0.0,,0.0,,31.0,2.31,0.0,0.0,0.0,0.0,0.0,0.0,1.7333333333333334
Kaleo,Kwan,Leo Boy,170.18,155.0,,,11,16,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Jarrod,Kwitty,,172.72,185.0,,,2,2,0,,,,,,,,,,,,,,,,,,,,
Mike,Kyle,MAK,193.04,205.0,77.0,Orthodox,22,14,1,221.0,430.0,1.0,8.0,3.93,3.35,1.33,0.8,,,0.8,51.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,5.016666666666667
Lisa,Kyriacou,The Savage,165.1,125.0,64.0,Orthodox,7,2,0,,,,,,,,,,,,,,,,,,,,
Achmed,Labasanov,,190.5,215.0,,Orthodox,7,4,0,,,,,,,,,,,,,,,,,,,,
Josh,LaBerge,,177.8,145.0,,,11,6,0,38.0,105.0,,2.0,2.53,5.33,0.0,0.0,,,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
Jeremiah,Labiano,The Kid,177.8,135.0,,,11,5,0,,,,,,,,,,,,,,,,,,,,
Daniel,Lacerda,Miojo,167.64,125.0,70.0,Switch,11,6,0,102.0,224.0,,8.0,3.95,8.28,2.32,1.16,,1.74,,46.0,50.0,5.0,45.0,0.0,0.0,6.0,55.0,4.316666666666666
Luan,Lacerda,,170.18,135.0,71.0,Orthodox,13,4,0,194.0,452.0,1.0,23.0,4.06,6.15,2.82,0.63,,,0.0,43.0,39.0,0.0,0.0,2.0,15.0,11.0,85.0,11.95
Kemran,Lachinov,,,170.0,,,3,2,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Aspen,Ladd,,167.64,135.0,66.0,Orthodox,9,3,0,290.0,617.0,1.0,17.0,3.78,4.65,1.56,0.59,,,0.2,47.0,47.0,6.0,67.0,2.0,22.0,1.0,11.0,10.966666666666669
Ryan,LaFlare,,185.42,170.0,74.0,Southpaw,14,3,0,427.0,1064.0,21.0,47.0,2.89,1.86,2.13,0.2,,,0.2,40.0,45.0,4.0,31.0,6.0,46.0,3.0,23.0,14.783333333333331
Corinne,Laframboise,,162.56,125.0,65.0,Orthodox,8,5,0,15.0,22.0,,1.0,3.16,1.89,3.16,0.0,,,0.0,68.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75
Ben,Lagman,Bad News,187.96,185.0,,,6,5,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Noad,Lahat,Neo,175.26,145.0,69.0,Orthodox,11,2,0,106.0,226.0,,23.0,2.79,1.47,2.37,2.37,,,0.0,47.0,26.0,2.0,22.0,3.0,33.0,4.0,44.0,9.516666666666667
Tina,Lahdemaki,Jelly Bean,157.48,115.0,,Orthodox,5,1,0,29.0,141.0,,,1.93,4.67,0.0,0.0,,,0.0,21.0,1.93,1.0,20.0,2.0,40.0,2.0,40.0,15.0
Yohan,Lainesse,White Lion,185.42,170.0,76.0,Orthodox,9,3,0,71.0,172.0,2.0,7.0,2.22,3.38,0.94,0.47,,,0.94,41.0,29.0,6.0,67.0,3.0,33.0,0.0,0.0,6.383333333333334
Tim,Lajcik,The Bohemian,185.42,225.0,,Orthodox,7,6,1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Todd,Lally,,170.18,145.0,,Orthodox,2,1,0,,,,,,,,,,,,,,,,,,,,
Sean,Lally,The Unpredictable One,182.88,170.0,,Orthodox,7,3,0,62.0,158.0,,,5.34,7.23,0.0,0.0,,0.0,,39.0,5.34,0.0,0.0,0.0,0.0,0.0,0.0,11.616666666666667
Ricardo,Lamas,The Bully,172.72,145.0,71.0,Orthodox,20,8,0,741.0,1566.0,13.0,86.0,3.13,2.87,1.84,0.95,,,0.19,47.0,34.0,6.0,32.0,8.0,42.0,5.0,26.0,10.283333333333331
Jason,Lambert,The Punisher,190.5,185.0,75.0,Orthodox,26,13,0,143.0,246.0,,11.0,3.21,1.84,1.35,2.36,,,1.01,58.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,5.566666666666666
Jose,Landi-Jons,Pele,180.34,170.0,,Orthodox,29,16,0,27.0,66.0,,5.0,0.99,0.77,2.2,2.2,,,0.0,41.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,13.633333333333333
Nate,Landwehr,The Train,175.26,145.0,72.0,Orthodox,18,8,0,571.0,1248.0,,12.0,5.55,5.96,0.73,0.73,,,0.15,46.0,42.0,9.0,50.0,7.0,39.0,2.0,11.0,9.35
Austen,Lane,,198.12,205.0,80.0,Orthodox,13,8,0,108.0,216.0,,14.0,2.7,2.45,1.5,0.0,,,0.38,50.0,29.0,11.0,85.0,1.0,8.0,1.0,8.0,4.433333333333334
Aaron,Lanfranco,,,155.0,,,5,1,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Jeremy,Lang,,180.34,205.0,,Southpaw,21,2,0,12.0,24.0,,5.0,1.13,1.41,4.22,4.22,,0.0,,50.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666
Lionel,Lanham,,,205.0,,,5,1,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Lina,Lansberg,Elbow Queen,170.18,135.0,65.0,Orthodox,10,8,0,390.0,703.0,2.0,18.0,2.69,3.87,0.52,0.1,,,0.21,55.0,28.0,4.0,40.0,6.0,60.0,0.0,0.0,13.166666666666666
Taylor,Lapilus,Double Impact,167.64,135.0,73.0,Southpaw,21,4,0,512.0,1065.0,2.0,6.0,4.59,2.61,0.27,0.27,,,0.27,48.0,33.0,4.0,18.0,12.0,55.0,6.0,27.0,13.933333333333334
Chad,Laprise,The Disciple,177.8,170.0,71.0,Orthodox,13,4,0,410.0,958.0,6.0,11.0,4.78,3.59,1.05,0.0,,,0.52,43.0,55.0,8.0,57.0,5.0,36.0,1.0,7.0,8.583333333333334
Anthony,Lapsley,The Recipe,175.26,170.0,,Southpaw,23,7,0,10.0,29.0,,5.0,0.53,0.58,0.0,0.0,,,0.0,34.0,0.0,4.0,16.0,4.0,16.0,17.0,68.0,9.466666666666669
TJ,Laramie,,167.64,145.0,66.0,Orthodox,12,5,0,31.0,62.0,,6.0,1.49,2.64,1.44,0.0,,,0.0,50.0,33.0,7.0,58.0,3.0,25.0,2.0,17.0,6.95
Joseph,Larcinese,Big Sexy,160.02,125.0,64.0,Orthodox,6,0,0,,,,,,,,,,,,,,,,,,,,
Icho,Larenas,,190.5,235.0,,Orthodox,6,5,0,2.0,13.0,,,0.17,2.5,0.0,0.0,,,0.0,15.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,11.983333333333333
Lorenz,Larkin,The Monsoon,180.34,170.0,72.0,Orthodox,18,6,0,594.0,1291.0,,7.0,3.53,2.74,0.27,0.09,,,0.54,46.0,43.0,11.0,61.0,7.0,39.0,0.0,0.0,11.2
Jeremy,Larsen,,177.8,145.0,70.0,Orthodox,8,5,0,88.0,182.0,,9.0,4.87,5.75,2.49,0.0,,0.83,,48.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,6.033333333333333
Brock,Larson,,180.34,170.0,71.0,Southpaw,42,10,0,94.0,202.0,,35.0,1.39,1.5,2.67,2.0,,,0.67,47.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,6.133333333333334
Ryan,Larson,,,170.0,,,6,2,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Bobby,Lashley,,190.5,255.0,78.0,Orthodox,15,2,0,69.0,108.0,,24.0,3.1,0.76,11.47,0.0,,0.0,,64.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,5.566666666666666
Ilir,Latifi,The Sledgehammer,177.8,230.0,73.0,Orthodox,17,9,0,306.0,677.0,10.0,59.0,2.05,2.93,2.11,0.3,,,0.4,45.0,36.0,6.0,21.0,18.0,62.0,5.0,17.0,9.316666666666666
Sione,Latu,,182.88,215.0,,,1,0,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Phillip,Latu,The Doctor,190.5,205.0,76.0,Orthodox,6,2,0,,,,,,,,,,,,,,,,,,,,
Jenel,Lausa,,165.1,125.0,68.0,Orthodox,7,5,0,78.0,184.0,2.0,3.0,1.44,3.53,0.55,0.83,,,0.55,42.0,67.0,2.0,29.0,3.0,43.0,2.0,29.0,13.516666666666667
Joe,Lauzon,,177.8,155.0,71.0,Orthodox,28,16,0,605.0,1525.0,33.0,75.0,2.84,5.39,2.39,2.04,,,0.21,40.0,45.0,9.0,32.0,2.0,7.0,17.0,61.0,7.883333333333334
Dan,Lauzon,The Upgrade,177.8,155.0,,Orthodox,17,6,0,37.0,143.0,,9.0,1.34,4.09,1.63,2.71,,,0.54,26.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,6.916666666666667
Sandra,Lavado,Peruvian Zombie,170.18,115.0,66.0,Orthodox,10,3,0,13.0,35.0,,3.0,0.87,2.67,0.0,0.0,,,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Chatt,Lavender,,172.72,170.0,,,9,7,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Cody,Law,,,145.0,,,9,2,0,,,,,,,,,,,,,,,,,,,,
Muhammed,Lawal,King Mo,182.88,205.0,78.0,Southpaw,21,6,0,448.0,854.0,,62.0,3.79,1.61,5.96,0.0,,,0.51,52.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1
Robbie,Lawler,Ruthless,180.34,170.0,74.0,Southpaw,30,16,0,1605.0,3411.0,16.0,28.0,3.85,4.67,0.65,0.0,,,0.61,47.0,64.0,22.0,73.0,7.0,23.0,1.0,3.0,11.266666666666667
Tom,Lawlor,Filthy,182.88,205.0,74.0,Southpaw,10,6,0,244.0,575.0,16.0,50.0,2.5,2.41,2.46,1.38,,,0.46,42.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,8.866666666666667
Justin,Lawrence,The American Kidd,172.72,145.0,67.0,Orthodox,10,4,0,160.0,454.0,,7.0,3.84,2.83,0.72,0.0,,,0.72,35.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,9.45
Lance,Lawrence,,185.42,145.0,74.0,Orthodox,4,1,0,88.0,176.0,,1.0,5.87,9.8,1.0,0.0,,,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Ronnie,Lawrence,The Heat,172.72,135.0,68.0,Switch,8,2,0,167.0,296.0,14.0,35.0,2.78,1.75,6.75,0.25,,,0.75,56.0,77.0,4.0,50.0,4.0,50.0,0.0,0.0,12.0
Eric,Lawson,,182.88,185.0,,Orthodox,9,5,0,8.0,14.0,,7.0,1.58,1.97,8.88,2.96,,0.0,,57.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,3.183333333333333
Jimmy,Lawson,Greedy,182.88,265.0,77.0,Orthodox,4,2,0,1.0,12.0,,,0.07,1.6,0.0,0.0,,0.0,,8.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Valmir,Lazaro,Bidu,182.88,155.0,73.0,Orthodox,15,5,0,219.0,587.0,,10.0,4.87,4.09,1.33,0.0,,,0.0,37.0,40.0,9.0,69.0,4.0,31.0,0.0,0.0,15.0
Zviad,Lazishvili,,167.64,135.0,69.0,Orthodox,13,1,0,63.0,160.0,,6.0,4.2,6.13,0.0,0.0,,0.0,,39.0,0.0,0.0,0.0,4.0,31.0,9.0,69.0,15.0
Mounir,Lazzez,The Sniper,185.42,170.0,76.0,Orthodox,11,3,0,250.0,452.0,4.0,7.0,7.49,5.42,1.8,0.0,,,0.0,55.0,57.0,8.0,73.0,3.0,27.0,0.0,0.0,8.35
Cung,Le,,175.26,185.0,70.0,Southpaw,9,3,0,477.0,978.0,,14.0,4.36,2.98,1.37,0.27,,,1.51,49.0,71.0,8.0,89.0,1.0,11.0,0.0,0.0,9.133333333333333
Thanh,Le,,175.26,145.0,74.0,Orthodox,6,1,0,13.0,32.0,,,1.97,1.82,0.0,0.0,,,2.28,41.0,1.97,6.0,86.0,0.0,0.0,1.0,14.0,6.583333333333333
Quang,Le,Bang,170.18,135.0,70.0,Orthodox,9,3,0,102.0,262.0,2.0,21.0,2.82,4.59,2.9,0.41,,,0.0,39.0,33.0,2.0,22.0,3.0,33.0,4.0,44.0,9.05
Carlos,Leal,The Lion,180.34,170.0,74.0,Orthodox,23,7,0,306.0,651.0,1.0,9.0,8.75,7.78,0.43,0.0,,,0.0,47.0,11.0,11.0,48.0,10.0,43.0,2.0,9.0,8.75
Jordan,Leavitt,The Monkey King,175.26,145.0,71.0,Southpaw,13,3,0,165.0,284.0,4.0,49.0,2.18,1.57,2.97,1.19,,,0.2,58.0,31.0,2.0,15.0,4.0,31.0,7.0,54.0,6.9
Jerome,LeBanner,,190.5,265.0,,Southpaw,3,2,0,,,,,,,,,,,,,,,,,,,,
Chris,Leben,The Crippler,180.34,185.0,73.0,Southpaw,22,11,0,640.0,1495.0,,41.0,2.87,2.87,1.14,0.81,,,0.47,43.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,8.916666666666666
Julien,Leblanc,,187.96,185.0,74.0,Southpaw,10,3,0,4.0,6.0,,,1.69,2.96,0.0,0.0,,0.0,,67.0,1.69,4.0,40.0,2.0,20.0,4.0,40.0,2.3666666666666667
Jean-Paul,Lebosnoyani,Mufasa,180.34,170.0,72.0,Switch,10,2,0,77.0,125.0,3.0,10.0,4.77,3.72,2.79,1.86,,0.93,,62.0,30.0,3.0,30.0,2.0,20.0,5.0,50.0,8.066666666666666
Mickael,Lebout,Ragnar,180.34,155.0,73.0,Orthodox,16,7,1,117.0,335.0,,4.0,2.6,2.98,0.0,0.0,,,0.0,35.0,0.0,1.0,7.0,7.0,50.0,6.0,43.0,15.0
Stephen,Ledbetter,,175.26,145.0,,Orthodox,8,3,0,18.0,47.0,,11.0,1.2,1.6,5.0,0.0,,,0.0,38.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Justin,Ledet,El Blanco,193.04,205.0,80.0,Orthodox,9,4,0,218.0,559.0,1.0,2.0,3.35,4.82,0.23,0.23,,,0.0,39.0,50.0,2.0,22.0,2.0,22.0,5.0,56.0,9.3
James,Lee,,180.34,205.0,,Southpaw,15,3,0,3.0,7.0,,4.0,1.4,3.72,13.95,6.98,,6.98,,43.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0833333333333333
David,Lee,,177.8,155.0,,Orthodox,12,10,0,13.0,26.0,,4.0,1.49,3.31,0.0,0.0,,,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.383333333333334
Jackie,Lee,,,,,,0,1,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Eun Soo,Lee,,185.42,215.0,,Orthodox,17,4,0,,,,,,,,,,,,,,,,,,,,
Tae Hyun,Lee,,198.12,295.0,,Orthodox,1,2,0,,,,,,,,,,,,,,,,,,,,
Tommy,Lee,,170.18,145.0,,Orthodox,25,6,0,,,,,,,,,,,,,,,,,,,,
Matt,Lee,,180.34,155.0,,Orthodox,14,10,1,0.0,12.0,,,0.0,9.68,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55
Imani,Lee,,,,,Orthodox,2,4,0,,,,,,,,,,,,,,,,,,,,
Vaughan,Lee,,167.64,125.0,66.0,Orthodox,14,13,1,258.0,546.0,,12.0,3.47,2.07,0.81,1.01,,,0.2,47.0,33.0,4.0,29.0,3.0,21.0,7.0,50.0,9.283333333333331
