first,last,nickname,height_cm,weight,reach,stance,wins,losses,draws,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedowns_attempted,str_landed_per_min,str_absorbed_per_min,td_avg_per_15min,sub_avg_per_15min,str_defense_pct,td_defense_pct,knockdown_avg,striking_accuracy_pct,takedown_accuracy_pct,ko_wins,ko_win_percentage,dec_wins,dec_win_percentage,sub_wins,sub_win_percentage,avg_fight_time_minutes
Donovan,Beard,The Highlight Reel,187.96,185.0,78.0,Orthodox,7,2,0,0.0,1.0,,,0.0,5.77,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667
Rudy,Bears,,180.34,170.0,,Southpaw,16,15,0,5.0,17.0,,1.0,1.27,2.53,0.0,0.0,,0.0,,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9833333333333332
Salvador,Becerra,,175.26,155.0,,,5,2,0,,,,,,,,,,,,,,,,,,,,
Ariel,Beck,,167.64,125.0,66.0,Southpaw,4,5,0,35.0,102.0,,,4.44,4.31,0.0,0.0,,0.0,,34.0,4.44,2.0,50.0,2.0,50.0,0.0,0.0,7.883333333333334
Jack,Becker,,177.8,155.0,71.0,Orthodox,13,6,0,,,,,,,,,,,,,,,,,,,,
Jeff,Bedard,Little Popeye,167.64,145.0,,Orthodox,13,3,0,14.0,27.0,,6.0,0.8,0.0,3.43,2.57,,,0.0,52.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75
Eric,Bedard,Lucky Strikes,187.96,239.0,,,6,7,0,,,,,,,,,,,,,,,,,,,,
Johnny,Bedford,Brutal,177.8,135.0,71.0,Orthodox,21,13,1,186.0,368.0,,8.0,4.53,1.75,1.83,0.0,,,1.1,51.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85
Rolando,Bedoya,The Machine,180.34,155.0,74.0,Orthodox,14,5,0,374.0,782.0,,7.0,6.23,5.5,0.0,0.25,,,0.0,48.0,0.0,4.0,29.0,7.0,50.0,3.0,21.0,15.0
Chase,Beebe,,170.18,135.0,67.0,Orthodox,24,13,1,133.0,341.0,,28.0,1.93,2.0,2.61,0.87,,,0.0,39.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,17.25
Lyle,Beerbohm,Fancy Pants,177.8,155.0,,Southpaw,24,3,0,85.0,153.0,,26.0,1.98,1.61,2.1,0.35,,,0.0,56.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466666666666669
Allan,Begosso,Mini,165.1,135.0,66.0,Orthodox,7,2,1,27.0,67.0,,,1.8,7.73,0.0,2.0,,,0.0,40.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,15.0
